,Accuracy,Precision,Recall,F1 Score,FPR,FNR
"train layers=[64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.3",0.9588574026367631,0.9577215189873418,0.9635060398777471,0.9606050712808794,0.046190927769875136,0.03649396012225295
"val layers=[64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.3",0.9599151322270213,0.9577282530553558,0.9659222737819025,0.9618078117103458,0.046659260434851614,0.034077726218097446
"train layers=[64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.5",0.9595203818760418,0.959701113569589,0.9626691893465289,0.9611828601529435,0.04389916232021495,0.03733081065347111
"val layers=[64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.5",0.960597105402743,0.9588370754173863,0.9660672853828306,0.9624386015602427,0.04538962069512776,0.033932714617169374
"train layers=[64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.3",0.9584785573571754,0.9569301922243099,0.9636151942948624,0.9602610587382161,0.047099731310257624,0.03638480570513754
"val layers=[64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.3",0.9587785102674851,0.9551447406133563,0.9665023201856149,0.9607899668444573,0.049674654816695765,0.03349767981438515
"train layers=[64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.5",0.9589331716926807,0.9599898248419216,0.9611774123126182,0.9605832515181266,0.04350403034613561,0.03882258768738175
"val layers=[64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.5",0.9600666818216261,0.9591925018024513,0.9646171693735499,0.9618971874774058,0.04491350579273131,0.03538283062645012
"train layers=[64], epochs=50, min_delta=0.0, patience=7, dropout_rate=0.3",0.9599371116835884,0.9582385029442578,0.9651069713287731,0.9616604731260763,0.04567725620357199,0.03489302867122689
"val layers=[64], epochs=50, min_delta=0.0, patience=7, dropout_rate=0.3",0.9593089338486019,0.9562347539101737,0.9663573085846868,0.9612693833393436,0.04840501507697191,0.033642691415313224
"train layers=[64], epochs=50, min_delta=0.0, patience=7, dropout_rate=0.5",0.9588763449007426,0.9591177857583343,0.9620142628438364,0.9605638408021653,0.0445313734787419,0.03798573715616359
"val layers=[64], epochs=50, min_delta=0.0, patience=7, dropout_rate=0.5",0.9599909070243237,0.9579976985040276,0.9657772621809745,0.9618717504332756,0.04634185049992065,0.034222737819025524
"train layers=[64], epochs=50, min_delta=0.0, patience=9, dropout_rate=0.3",0.9596529777238976,0.959911478740386,0.962705574152234,0.9613064961488156,0.043662083135767346,0.037294425847765975
"val layers=[64], epochs=50, min_delta=0.0, patience=9, dropout_rate=0.3",0.96112752898386,0.9595392368610511,0.9663573085846868,0.9629362040315006,0.04459609585780035,0.033642691415313224
"train layers=[64], epochs=50, min_delta=0.0, patience=9, dropout_rate=0.5",0.9593499015002273,0.9605234460196292,0.9614321059525542,0.9609775611884933,0.0429113323850166,0.03856789404744579
"val layers=[64], epochs=50, min_delta=0.0, patience=9, dropout_rate=0.5",0.9607486549973479,0.9592453917050692,0.9659222737819025,0.9625722543352602,0.04491350579273131,0.034077726218097446
"train layers=[64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.3",0.9594067282921654,0.9576004911697786,0.9647431232717217,0.961158537690537,0.04638849375691481,0.03525687672827827
"val layers=[64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.3",0.9609002045919527,0.958201666187877,0.9673723897911833,0.9627651897820754,0.046183145532455165,0.03262761020881671
"train layers=[64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.5",0.9592741324443097,0.9605846847502,0.9612137971183234,0.9608991379623905,0.04283230599020073,0.03878620288167661
"val layers=[64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.5",0.9609759793892552,0.960323185687491,0.9651972157772621,0.9627540319664425,0.043643866053007456,0.03480278422273782
"train layers=[64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.3",0.960107592059403,0.9605138999782246,0.96296026779217,0.9617355281805298,0.04299035877983246,0.03703973220783001
"val layers=[64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.3",0.9599909070243237,0.9594516594516594,0.9641821345707656,0.9618110805728338,0.04459609585780035,0.03581786542923434
"train layers=[64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.5",0.9588763449007426,0.9610242960696463,0.9599403289186436,0.9604820066621766,0.04227912122648965,0.04005967108135643
"val layers=[64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.5",0.9609002045919527,0.9628554846198492,0.9622969837587007,0.9625761531766753,0.040628471671163305,0.037703016241299306
"train layers=[64], epochs=50, min_delta=0.001, patience=7, dropout_rate=0.3",0.9597287467798151,0.9575934748087195,0.9653980497744142,0.9614799246267575,0.04642800695432275,0.03460195022558579
"val layers=[64], epochs=50, min_delta=0.001, patience=7, dropout_rate=0.3",0.9594604834432068,0.9559856630824373,0.9669373549883991,0.9614303222550645,0.048722425011902874,0.03306264501160093
"train layers=[64], epochs=50, min_delta=0.001, patience=7, dropout_rate=0.5",0.9583459615093196,0.9583771436858707,0.9617595692039005,0.9600653772813947,0.04536115062430852,0.038240430796099546
"val layers=[64], epochs=50, min_delta=0.001, patience=7, dropout_rate=0.5",0.9603697810108358,0.9581595974119339,0.9663573085846868,0.9622409934300773,0.046183145532455165,0.033642691415313224
"train layers=[64], epochs=50, min_delta=0.001, patience=9, dropout_rate=0.3",0.9589331716926807,0.9594555353901997,0.9617595692039005,0.960606170730821,0.044136241504662554,0.038240430796099546
"val layers=[64], epochs=50, min_delta=0.001, patience=9, dropout_rate=0.3",0.9613548533757672,0.9594244604316546,0.9669373549883991,0.96316625740286,0.04475480082526583,0.03306264501160093
"train layers=[64], epochs=50, min_delta=0.001, patience=9, dropout_rate=0.5",0.9586490377329898,0.9587669990933817,0.9619414932324262,0.9603516228046277,0.044926505452821244,0.038058506767573864
"val layers=[64], epochs=50, min_delta=0.001, patience=9, dropout_rate=0.5",0.9603697810108358,0.9589514619040761,0.9654872389791184,0.9622082520413324,0.045230915727662274,0.03451276102088167
"train layers=[64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.3",0.9593120169722685,0.9576589595375723,0.9644884296317857,0.9610615618881879,0.04630946736209894,0.035511570368214236
"val layers=[64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.3",0.961506402970372,0.957855504587156,0.9689675174013921,0.9633794694348328,0.046659260434851614,0.03103248259860789
"train layers=[64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.5",0.9593877860281861,0.9601917768414935,0.9618687236210158,0.9610295186854734,0.043306464359095936,0.038131276378984134
"val layers=[64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.5",0.960597105402743,0.9609600925390399,0.9637470997679815,0.9623515783376774,0.04285034121568005,0.03625290023201856
"train layers=[64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.3",0.9591794211244128,0.9575159856941584,0.9643792752146704,0.9609353756911085,0.046467520151730675,0.03562072478532965
"val layers=[64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.3",0.9600666818216261,0.9562974638200316,0.9678074245939675,0.962018018018018,0.04840501507697191,0.03219257540603248
"train layers=[64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.5",0.9593309592362479,0.9602543142597638,0.9616867995924901,0.9609700230871312,0.04322743796428007,0.03831320040750982
"val layers=[64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.5",0.9595362582405093,0.9588863242931333,0.9638921113689095,0.9613827017645358,0.045230915727662274,0.03610788863109049
"train layers=[64], epochs=100, min_delta=0.0, patience=7, dropout_rate=0.3",0.9598424003636915,0.9586950231481481,0.9644156600203755,0.9615468330552129,0.04512407143986091,0.035584339979624506
"val layers=[64], epochs=100, min_delta=0.0, patience=7, dropout_rate=0.3",0.960597105402743,0.9576514498995119,0.9673723897911833,0.9624873755590824,0.04681796540231709,0.03262761020881671
"train layers=[64], epochs=100, min_delta=0.0, patience=7, dropout_rate=0.5",0.9593120169722685,0.9609898107714702,0.960849949061272,0.9609198748271596,0.04235814762130551,0.03915005093872799
"val layers=[64], epochs=100, min_delta=0.0, patience=7, dropout_rate=0.5",0.9596120330378116,0.9592897358163707,0.9636020881670534,0.9614410764667582,0.04475480082526583,0.03639791183294663
"train layers=[64], epochs=100, min_delta=0.0, patience=9, dropout_rate=0.3",0.9587248067889074,0.9577770541625963,0.9631785766264008,0.9604702211418101,0.04611190137505927,0.036821423373599185
"val layers=[64], epochs=100, min_delta=0.0, patience=9, dropout_rate=0.3",0.9593847086459044,0.9557179707652622,0.9670823665893271,0.9613665849790975,0.04903983494683384,0.03291763341067285
"train layers=[64], epochs=100, min_delta=0.0, patience=9, dropout_rate=0.5",0.9594067282921654,0.9565781413282404,0.9658710522485809,0.9612021363266046,0.047613402876560774,0.03412894775141901
"val layers=[64], epochs=100, min_delta=0.0, patience=9, dropout_rate=0.5",0.9597635826324165,0.9558802463830397,0.9676624129930395,0.9617352453700367,0.04888112997936835,0.03233758700696056
"train layers=[64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.3",0.9581375966055463,0.9586599883855982,0.9610318730897977,0.9598444654408024,0.04500553184763711,0.0389681269102023
"val layers=[64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.3",0.9589300598620899,0.9569907940161104,0.964762180974478,0.9608607741190064,0.04745278527217902,0.03523781902552204
"train layers=[64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.5",0.9593499015002273,0.9604230266027038,0.9615412603696696,0.9609818181818182,0.0430298719772404,0.03845873963033038
"val layers=[64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.5",0.9600666818216261,0.9602543720190779,0.9634570765661253,0.9618530582699963,0.043643866053007456,0.03654292343387471
"train layers=[64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.3",0.9593877860281861,0.9586591369823342,0.9635424246834522,0.9610945779197213,0.04512407143986091,0.03645757531654781
"val layers=[64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.3",0.9600666818216261,0.9581355200690548,0.9657772621809745,0.9619412147035459,0.046183145532455165,0.034222737819025524
"train layers=[64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.5",0.9593499015002273,0.956869816083664,0.9654344345801193,0.9611330459666027,0.047257784099889365,0.03456556541988066
"val layers=[64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.5",0.9587027354701826,0.9551383115952415,0.9663573085846868,0.9607150580263821,0.049674654816695765,0.033642691415313224
"train layers=[64], epochs=100, min_delta=0.001, patience=7, dropout_rate=0.3",0.960012880739506,0.9604398795049541,0.9628511133750546,0.9616439849555753,0.04306938517464833,0.03714888662494542
