subject,body,label
conference on catalan studies ( linguistic section ),"fifteenth german conference on catalan studies university of freiburg im breisgau october 2 - october 4 , 1998 provisional program of the linguistic section the linguistic sections of the 15th german conference on catalan studies ( 15 . deutscher katalanistentag / xv col . loqui germano - catala ) , organized by the department of romance languages of freiburg university and the german association of catalan studies ( deutscher katalanistenverband / associacio germano - catalana ) and to be held on the premises of freiburg 's albert - ludwigs - university , will include the following papers on linguistic , sociolinguistic and translation topics : * heiner boehmer ( wiesbaden ) : "" alguns reflexos de contactes interculturals europeus en les etimologies de joan coromines "" * vicent cabanes fitor ( alcoi ) : "" varietats diatopiques en la traduccio catalana de la vita christi de st . joan bonaventura de 1522 "" * jaume corbera / brauli montoya ( palma de mallorca ) : "" la utilitat dels enregistraments audiovisuals per a l ' estudi del llenguatge no verbal "" * annette endruschat ( leipzig ) : "" funktionen und verwendung der katalanischen praeposition amb im vergleich mit den komitativen praepositionen in anderen romanischen sprachen "" * gottfried ernst ( freiburg i . br . ) : "" die neue katalanische sprachgesetzgebung und ihr quebecker vorbild "" * cristina gelpi-arroyo ( barcelona ) : "" la lexicografia bilingue catala-alemany , alemany-catala : proposta d ' avaluacio "" * thomas gergen ( poitiers / saarbruecken ) : "" pau e treva in den usatges de barcelona "" * ulrich gierth ( kehl ) : "" anmerkungen zu einigen vogelnamen in den woerterbuechern "" * josep r . guzman pitarch ( castello de la plana ) : "" modalitat i traduccio : particules modals i traduccions al catala de das fraeulein von scuderi "" * brenda laca ( strasbourg ) : "" les perifrasis catalanes "" * birgit lotz ( frankfurt am main ) : "" katalanischlernen im internet "" * joan - antoni mesquida cantallops ( palma de mallorca ) : "" el llenguatge cientific i tecnic en catala al segle xvii "" * christian muench ( munich ) : "" normalitzacio linguistica : einige bemerkungen aus der sicht der schreibforschung "" * constanze noufal ( tuebingen ) : "" diachronische betrachtungen der kenntnis der katalanischen sprache in catalunya nord "" * adolf piquer / birte ulig ( salamanca ) : "" sobre els marcadors discursius en el relat : una aproximacio contrastiva catala / alemany "" * artur quintana ( heidelberg / speyer ) : "" manuel sanchis guarner i la descoberta del carxe "" * carsten sinner ( potsdam / mallorca ) : "" mallorquinisch : ein unbekannter dialekt ? - ueber die mallorquinischkenntnisse der katalanen "" * joan m . vallve ( brussel / barcelona ) : "" la llengua a les institucions de la unio europea "" * antonio vano-cerda ( palma de mallorca ) : "" untersuchungen zum themenkomplex von ser und estar im katalanischen "" in order to get a complete program of the conference , including abstracts of the above mentioned papers , a list of papers on literature topics , plenary speeches and round tables , general information and a registration form , please write to : * albert - ludwigs - universitaet , romanisches seminar / lektorat fuer katalanisch , werthmannplatz 3 , d-79085 freiburg im breisgau ( germany ) , fax + 49 / 76 61 / 63 10 , e-mail : pusch @ uni-freiburg . de or have a look at the following url : http : / / www . uni-muenster . de / romanistik / dkv / colloqui . htm claus d . pusch * * * * * * * * * * * * * * albert - ludwigs - universitaet freiburg romanisches seminar werthmannplatz 3 - d-79085 freiburg i . br . ( germany ) tel . ( + 49 ) 0761-203 - 3172 - fax ( + 49 ) 0761-203 - 3195 http : / / omnibus . uni-freiburg . de / ~ pusch /
",0
sum : trends and developments in linguistics,"here is a summary of the reactions to my recent posting on "" the crucial issues and domains of investigation in contemporary linguistic research "" and "" the most important trends and developments that will determine the research agenda of linguistics in the ( near ) future "" . i received four replies in all , viz . from suzanne e kemmer , mark liberman , paul woods and sabine geldof , all of whom i would hereby like to thank . mark liberman 's reply was long , detailed and insightful but also based on an internal report and therefore perhaps not fit for public dissemination . those who want to know the details of what he had to say may want to contact him personally at myl @ sansom . ling . upenn . edu . two general themes emerged from these responses : 1 . as far as theory-building is concerned , the main areas of interest and development for the future are believed to lie in the field of cognitive linguistics , i . e . the relation of linguistic structure to cognition as envisaged by r langacker , g lakoff , and others . 2 . in terms of methodology , a stronger emphasis on corpus based research , made possible by the ongoing micro-electronic revolution . the increasing application of computers in linguistic research is expected to bring about some major theoretical revolutions / paradigm shifts ( cf . pdp , connectionism ) . or . . . what computers reveal about the mind . alex housen
",0
6th workshop on very large corpora,"call for papers sixth workshop on very large corpora when : august 15-16 , 1998 ( immediately following acl / coling-98 ) where : university of montreal , montreal , quebec , canada workshop description : as in past years , the workshop will offer a general forum for new research in corpus-based and statistical natural language processing . areas of interest include ( but are not limited to ) : - robust parsing , phrase structure analysis - part of speech tagging - term and name identification - word sense disambiguation - morphological analysis - anaphora resolution - event categorization - discourse structure identification - alignment of parallel texts and bilingual terminology - language modelling - lexicography - machine translation - spelling and grammar correction program chair : eugene charniak brown university program committee : steven abney lillian lee eric brill christopher manning ted briscoe dan melamed rebecca bruce scott miller claire cardie raymond mooney bob carpenter james pustejovksy glen carroll lance ramshaw ken church adwait rathnaparkhi michael collins ellen riloff joshua goodman hinrich schutze vasilis hatzivassiloglou ralph weischedel mark johnson janyce wiebe andrew kehler dekai wu john lafferty david yarowsky sponsor : sigdat ( acl 's special interest group for linguistic data and corpus-based approaches to nlp ) web sites : coling-acl ' 98 - http : / / coling-acl 98 . iro . umontreal . ca / format for submission : only hard-copy submissions will be accepted . authors should submit six ( 6 ) copies of their full-length paper ( 3500-8000 words ) to eugene charniak at the johns hopkins university address below . papers should describe original work . a paper accepted for presentation cannot be presented or have been presented at any other meeting . papers submitted to other conferences will be considered , as long as this fact is clearly indicated in the submission . schedule : submission deadline : april 20 , 1998 notification date : june 1 , 1998 camera ready copy due : june 22 , 1998 contact : eugene charniak e-mail ec @ cs . brown . edu address : before february 1 , 1998 and after june 1 , 1998 department of computer science brown university providence ri 02912-1910 address : from february 1 , 1998 until june 1 , 1998 department of computer science johns hopkins university neb 224 , 3400 n . charles street baltimore , md 21218-2694
",0
"re : "" snow "" 1 / 2","about snow . . . first , i should apologize to tony for misunderstanding his cocktail advice - - his derivation of the origins of my misunderstanding is correct . second , i think that quotations from boas / whorf are very helpful and a good reminder to those of us in this debate . third , as to the question of whether or not sleet is related to snow . i do n't agree . it is , i agree , related ( and would be defined in relation to ) water , but ( at least i and a few other students that i asked ) would n't define it as a form of snow ( ditto for freezing rain ) . fourth , i agree with tony that "" counting "" has to be mediated by many considerations of grammatical structure in the compared languages and spread of the form in the speech community . but , i do n't think that this wipes out the ( admittedly small , but original ) point . fifth , i ' m going to sidestep the issue over ' lexicalization ' vs . ' complex construction ' because i do n't think that i share the same view as others on the importance / necessity of this distinction - - indeed , it is a bit ironic that another implication of sapir / whorf is that the view that our language is made up out of ' words ' and ' grammar ' ( constructions ) is precisely the kind of objectification , which we would expect and which formal distributional analyses show to be a simplification ) . as jonathan states , "" figuring out just what counts as a simple , lexicalised form is * very * hard in yup ' ik , given that it has a rich , higly productive derivational morphology "" . i agree and the answer would eventually have to draw lines along continua that i do n't think will be labelled ' lexical ' vs . ' construct ' ( and sapir offered some nice theoretical machinery for these kinds of comparative distinctions too ) . i still see only four ' arbitrary and unmotivated ' forms that deal specifically with 's now ' ( i . e . , snow , slush , blizzard , flurry ) . i ' ll leave it to others to decide whether or not various dialects of eskimo have more or less , but even if the point should fail here it still has life to it . so , i still find myself agreeing with the original insight . the point - - and not all that it has been used to argue - - has always seemed obvious to me . perhaps if we narrow the scope of the relevant speech community and bring it closer to home , it is easier to see . would n't we all accept the idea that _ on average _ lawyers ( vs . non-lawyers ) have more distinct forms for legal concepts than do others outside this community / culture ? ( and , of course , what we mean by distinct forms implies all of the complex relative distinctions hinted at above ) . similarly to take an example i know more about , statistically speaking arabs have more arbitrary and unmotivated forms for camels than english speakers ( even accounting for differences in the syntactico-semantic structures of the two languages ) . why does this simple - - and to be honest relatively uninteresting - - idea seem to bother people so much ? douglas j . glick department of anthropology vassar college doglick @ vassar . edu
",0
summer school courses in japanese,"content - length : 1083 i am an undergraduate major in linguistics and will be going to japan to teach english next fall . i would like to inquire about summer school courses in japanese that stress communicative competence at the beginning level , preferrably on the east coast . are there any , and what are the specifics ? thank you in advance . robert ball jball @ pomona . edu
",0
mt and translation theory workshop,"workshop on machine translation and translation theory dear colleagues , we ( that is ulrike schwall as a representative of the european association for machine translation and i as a person who is especially interested in combining machine translation with translation theory ) are planning a small workshop in the temporal neighbourhood of coling 92 at nantes . it will take place on july 22nd at 2 pm . at a place to be announced as soon as we know the approximate number of participants . christian boitet told me that we could have a room at the iud . the program will be the following : * 2 - 3 papers ( about 30 minutes each ) by experts in the fields of translation theory and / or mt ; * very short ( max . 5 minutes ) presentations by the participants of what they are doing in the field ( s ) and in which respect they are interested in the combination of mt with translation theory ; * discussion of perspectives and future activities . as uli has just moved to munich and i have n't yet got e-mail in my new position at the university of hildesheim , we ask you to use the e-mail account , fax or mailing address of the secretary of the kit group of the tu berlin ( with which i am still cooperating ) in order to signal your interest and for further information . cordula lippke technical university of berlin kit-fast sekr . 5-12 franklinstr . 28-29 d - w-1000 berlin 10 e-mail : lippke @ cs . tu-berlin . de or : lippke @ db0tui11 . bitnet fax : + 49-30 - 314-24929
",0
simultaneous prepositions and postpositions in pashto,"i ' m looking for analyses of nominal constructions ( in any language ) in which the np has _ both _ a preposition and a postposition . for example , pashto has constructions like the following , from herbert penzl , _ a grammar of pashto _ ( washington , d . c . : american council of learned societies , 1955 ) , p . 41 : we sarri te to man to ' to the man ' the preposition is sometimes optional , though the postposition is obligatory . since pashto is head-final ( the unmarked word order is sov ) , it 's tempting to take the postposition at face-value . however , there are some binding facts that suggest that a phrase containing an np + postposition is referential , and so it might be possible to analyze the postposition as some kind of case marker . i understand that there may be such a distinction between homophonous case markers and postpositions in japanese , for example . i 'd be grateful if anyone could suggest any articles that deal with these constructions . and if there are other linguists who are studying pashto , i 'd like to hear from you . thanks for any help ! taylor roberts < troberts @ mit . edu >",0
the linguistic review 15 / 2 - 3 ( 1998 ) special issue : greek syntax,"the linguistic review volume 15 / 2 - 3 ( 1998 ) special issue greek syntax : from minimality to optimality edited by gaberell drachman and dimitra theophanopoulou - kontou mouton de gruyter * berlin * new york editorial preface gaberell drachman . . . . . . . . . the syntax of early greek irene philippaki - warburton functional categories and modern greek syntax spyridoula varlokosta , anne vainikka and bernhard rohrbacher . . . . . . . functional projections , markedness , and ` root infinitives ' in early child greek chrysoula klidi . . . . . . . . . . . negative polarity items and negative quantifiers in modern greek : two in one or one in two ? anastasia giannakidou and jason merchant . . . . . . . . . . . . reverse sluicing in english and greek artemis alexiadou and melita stavrou . . . . . . . . . . . . ( a ) symmetries in dps and clauses : evidence from derived nominals filippo beghelli . . . . . . . . . . mood and the interpretation of indefinites _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ mouton de gruyter walter de gruyter , inc . postfach 30 34 21 200 saw mill river road d-10728 berlin hawthorne , ny 10532 germany usa fax : + 49 ( 0 ) 30 26005-351 fax : + 1 914 747-1326 email : mouton @ degruyter . de publications by de gruyter can also be ordered via world wide web : http : / / www . degruyter . com
",0
font for vietnamese,"hello . i am looking for a font that will write in vietnamese on a macintosh . if anyone has heard of such a thing , please let me know the details as to how i might obtain it . thank you . andrew talle northwestern university
",0
book on labelled deduction,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - call for papers labelled deduction ( an edited volume intended for the applied logic series of kluwer academic publishers ) http : / / www . informatik . uni-freiburg . de / ~ ld98 / - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - background in september 1998 , the university of freiburg ( germany ) hosted ld ' 98 the first international workshop on labelled deduction . the participants of ld ' 98 reported on research , related to or based on labelled deduction , in many areas of computer science , artificial intelligence , mathematical logic , cognitive science , philosophy , and computational linguistics . more information on ld ' 98 is available at the url of the workshop http : / / www . informatik . uni-freiburg . de / ~ ld98 / ws / motivated by the success of the workshop , the members of the program committee of ld ' 98 will edit a volume collecting original papers on this topic and titled labelled deduction ( an edited volume intended for the applied logic series of kluwer academic publishers ) topics of interest the title reflects the planned contents of this book : we welcome original contributions on all theoretical and practical aspects of labelled deduction , including but not limited to : * logical modeling based on labelled deduction * formal metatheory for , or based on , labelled deduction * hybrid reasoners and combinations of logics based on labelling * automated reasoning , implementation , and system support * annotated logic programming * applications submissions * authors are invited to submit full papers of at most 18 pages ( formatted as described below ) to be received by january 31st , 1999 . notification of acceptance or rejection of the papers will be sent by april 30th , 1999 , and final versions of accepted papers will be due by june 15th , 1999 . * submitted papers must be original and not submitted for publication elsewhere . * the primary means of submission is electronic , in postscript format . papers should be e-mailed to ld98 @ informatik . uni-freiburg . de . if electronic submission is not possible , then 5 hard copies should be sent to the postal address given below . regardless of the submission method , a letter or e-mail message accompanying the paper must contain the title , authors , and contact information ( e-mail and postal addresses ) . * authors are strongly encouraged to use latex2e and the article document class with a4paper and 11pt as options . ( basic dimensions for a4paper - 11pt format are approximately : text height 300mm , text width 210mm , 11pt text with a 13 . 5pt leading ( baseline skip ) . ) * submitted papers must be written in english . reception of submissions will be confirmed by e-mail after we have succeeded in printing the paper . important dates submission deadline : january 31st , 1999 notification of acceptance : april 30th , 1999 deadline for final papers : june 15th , 1999 program committee david basin , institut fur informatik , albert - ludwigs - universitat freiburg , germany marcello d ' agostino , universita di ferrara , italy dov gabbay , king 's college , london , uk sean matthews , max - planck - institut fur informatik , saarbracken , germany luca vigano , institut fur informatik , albert - ludwigs - universitat freiburg , germany addresses * the labelled deduction ( ld ' 98 ) home page ( http : / / www . informatik . uni-freiburg . de / ~ ld98 / ) * email : ld98 @ informatik . uni-freiburg . de * by post : labelled deduction c / o luca vigano institut fur informatik albert - ludwigs - universitat freiburg universitatsgelande flugplatz d-79110 freiburg germany phone : + 49 ( 761 ) 203-8243 fax : + 49 ( 761 ) 203-8242
",0
sorry for the delay - fqtfsqvb,"hello thanks for stopping by ! ! we have taken many new pics and made some hot new videos ! they are the most erotic we have done ! stop by and be our guest for oodles of free fun ! click here and enter we thank you for all your business in the past ! the haven
",1
