,Accuracy,Precision,Recall,F1 Score,FPR,FNR
"train layers=[64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.3",0.9576261554781027,0.9563645565959293,0.9625236501237083,0.9594342188775048,0.04769242927137664,0.03747634987629166
"val layers=[64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.3",0.9601424566189285,0.9564345084551448,0.9678074245939675,0.9620873576473981,0.048246310109506425,0.03219257540603248
"train layers=[64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.5",0.9594635550841036,0.9611018120951896,0.9610318730897977,0.9610668413200888,0.042239608029081714,0.0389681269102023
"val layers=[64], epochs=50, min_delta=0.0, patience=1, dropout_rate=0.5",0.9601424566189285,0.9614604462474645,0.9622969837587007,0.9618785331207421,0.04221552134581812,0.037703016241299306
"train layers=[64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.3",0.9597476890437945,0.9598520291589598,0.96296026779217,0.9614036362315419,0.043741109530583216,0.03703973220783001
"val layers=[64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.3",0.9613548533757672,0.9598214285714286,0.9665023201856149,0.963150289017341,0.04427868592286938,0.03349767981438515
"train layers=[64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.5",0.9596340354599182,0.9605114978021578,0.9620142628438364,0.9612622929959462,0.04295084558242453,0.03798573715616359
"val layers=[64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.5",0.9603697810108358,0.96014440433213,0.9641821345707656,0.9621590333550394,0.04380257102047294,0.03581786542923434
"train layers=[64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.3",0.9596340354599182,0.9615846775661799,0.960849949061272,0.9612171729120789,0.041686423265370635,0.03915005093872799
"val layers=[64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.3",0.9608244297946503,0.9613771155793432,0.9637470997679815,0.9625606488521978,0.04237422631328361,0.03625290023201856
"train layers=[64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.5",0.9591983633883922,0.9597429940467548,0.9619778780381313,0.9608591365023986,0.04382013592539908,0.03802212196186872
"val layers=[64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.5",0.9598393574297188,0.9591748413156376,0.9641821345707656,0.9616719699161123,0.04491350579273131,0.03581786542923434
"train layers=[64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.3",0.9591036520684952,0.9593354372982189,0.9622325716780672,0.960781820493724,0.044294294294294295,0.037767428321932764
"val layers=[64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.3",0.9609002045919527,0.9596541786743515,0.9657772621809745,0.9627059843885516,0.04443739089033487,0.034222737819025524
"train layers=[64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.5",0.9591604788604334,0.9578783715380722,0.9639426575462087,0.9609009466468391,0.0460328749802434,0.036057342453791295
"val layers=[64], epochs=50, min_delta=0.001, patience=1, dropout_rate=0.5",0.96112752898386,0.9580881297545571,0.9679524361948956,0.9629950227223545,0.04634185049992065,0.03204756380510441
"train layers=[64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.3",0.9578155781178966,0.9563143631436314,0.96296026779217,0.9596258090248192,0.04777145566619251,0.03703973220783001
"val layers=[64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.3",0.9599151322270213,0.956808724350696,0.9669373549883991,0.961846375766318,0.04777019520710998,0.03306264501160093
"train layers=[64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.5",0.9594256705561449,0.9598606372940408,0.9623053412894775,0.9610814346451543,0.04370159633317528,0.03769465871052249
"val layers=[64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.5",0.9605213306054406,0.9596250901225667,0.9650522041763341,0.9623309955896175,0.04443739089033487,0.034947795823665896
"train layers=[64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.3",0.9588763449007426,0.9592510613592655,0.9618687236210158,0.9605581091146922,0.044373320689110166,0.038131276378984134
"val layers=[64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.3",0.9606728802000455,0.9596367305751766,0.9653422273781903,0.9624810236391238,0.04443739089033487,0.034657772621809746
"train layers=[64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.5",0.959236247916351,0.9561694158323129,0.9659802066656964,0.9610497737556561,0.04808756124545598,0.0340197933343036
"val layers=[64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.5",0.9599909070243237,0.955638236977676,0.9683874709976799,0.9619706136560069,0.049198539914299316,0.031612529002320186
"train layers=[64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.3",0.9569252917108653,0.9569346770100776,0.9604861010042206,0.9587071000544761,0.04694167852062589,0.03951389899577936
"val layers=[64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.3",0.9596878078351141,0.9575783721599079,0.9656322505800464,0.9615884476534297,0.04681796540231709,0.034367749419953596
"train layers=[64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.5",0.958705864524928,0.9584722423539643,0.9623781109008878,0.9604212055192447,0.04528212422949265,0.03762188909911221
"val layers=[64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.5",0.9583996362809729,0.957079072447069,0.9636020881670534,0.960329503576848,0.047294080304713534,0.03639791183294663
"train layers=[64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.3",0.9598802848916502,0.9576057151104055,0.9656891282200553,0.9616304347826087,0.04642800695432275,0.03431087177994469
